news,links,category,author,date,summary
Apresentação,https://periodicos.upe.br/index.php/revistaescripturas/article/view/1354,N/A,Jeffrey Aislan de Souza Silva,2025-09-17,N/A
N/A,https://periodicos.upe.br/index.php/revistaescripturas/article/view/1354/861,N/A,N/A,N/A,N/A
Entre a cruz e os analectos,https://periodicos.upe.br/index.php/revistaescripturas/article/view/952,N/A,"Leandro Nascimento de Souza, Victor Vinícius Costa de Mesquita",2025-09-17,N/A
N/A,https://periodicos.upe.br/index.php/revistaescripturas/article/view/952/860,N/A,N/A,N/A,N/A
"""Levou uma trouxa de roupa contendo as seguintes peças…"":",https://periodicos.upe.br/index.php/revistaescripturas/article/view/954,N/A,Dionisio Tito de Barros Neto,2025-09-17,N/A
N/A,https://periodicos.upe.br/index.php/revistaescripturas/article/view/954/863,N/A,N/A,N/A,N/A
"Missões, Reformas e Disputas Eclesiásticas:",https://periodicos.upe.br/index.php/revistaescripturas/article/view/953,N/A,"Carlos André  Silva de Moura, Daniel Nascimento Xavier",2025-09-17,N/A
N/A,https://periodicos.upe.br/index.php/revistaescripturas/article/view/953/864,N/A,N/A,N/A,N/A
O aporte do sincretismo religioso para a reconstrução da África portuguesa pós-colonial em O outro pé da sereia,https://periodicos.upe.br/index.php/revistaescripturas/article/view/972,N/A,"Clarissa Loureiro Marinho Barbosa, Simão Pedro Santos",2025-09-17,N/A
N/A,https://periodicos.upe.br/index.php/revistaescripturas/article/view/972/865,N/A,N/A,N/A,N/A
Globalização e Desigualdades:,https://periodicos.upe.br/index.php/revistaescripturas/article/view/950,N/A,"Daniel  Nascimento Xavier, Susan Lewis",2025-09-17,N/A
N/A,https://periodicos.upe.br/index.php/revistaescripturas/article/view/950/866,N/A,N/A,N/A,N/A
"STRAEHLE, Edgar. Los pasados de la revolución. Los múltiples caminos de la memoria revolucionaria. Madrid: Ediciones Akal, 2024.",https://periodicos.upe.br/index.php/revistaescripturas/article/view/1192,N/A,José Antonio Abreu Colombri,2025-09-17,N/A
N/A,https://periodicos.upe.br/index.php/revistaescripturas/article/view/1192/867,N/A,N/A,N/A,N/A
